config,variant,log_cost,start_j_db,final_j_db,delta_j_db,iterations,converged,iter_to_90pct,wall_s,cond_proxy
A,curvature,false,-32.33224706891305,-70.57417037543829,-38.24192330652524,20,true,14,14.168312788009644,1224.5300432698598
A,linear,false,-32.33224706891305,-70.52651966953992,-38.194272600626874,10,true,5,16.948930978775024,4446.275335604749
A,log_dB,true,-32.33224706891305,-75.78889666922757,-43.45664960031452,15,true,9,10.598489046096802,2373.9767701589954
A,sharp,true,-32.33224706891305,-55.956679345845316,-23.624432276932268,17,true,12,537.3622779846191,7972.471195526019
B,curvature,false,-1.2743734128208684,-47.10114120196784,-45.82676778914697,87,true,19,283.14177799224854,
B,linear,false,-1.2743734128208684,-56.93213247181397,-55.6577590589931,6,true,3,66.36297988891602,3.9332649827510924
B,log_dB,true,-1.2743734128208684,-48.63969262054567,-47.365319207724795,13,true,4,91.37277698516846,45.63229207291677
