run,controls,before_j_db,after_j_db,delta_j_db,iterations,converged,wall_s
phase_only_legacy,phase,-1.4942059282581686,-56.91707874905933,-55.42287282080116,19,true,191.3015820980072
phase_only_multivar_schema,phase,-1.4942059282581686,-56.91707874905933,-55.42287282080116,19,true,733.0528631210327
multivar_cold_start,phase+amplitude,-1.4942059282581686,-18.269225363472437,-16.77501943521427,100,false,394.1361379623413
multivar_warm_start,phase+amplitude,-1.4942059282581686,-25.108667016728287,-23.61446108847012,100,false,107.4156608581543
