group,label,fiber,L_m,P_W,Nt,J_after,J_after_dB,converged,iterations,gauge_C,gauge_alpha,a2,a3,a4,a5,a6,omega_mean,omega_range,residual_fraction
canonical_smf28,smf28/L1m_P005W,SMF-28,1.0,0.05,8192,6.605899253619409e-7,-61.800680540068214,true,37,0.005370921161812569,-0.0003322635430033287,-2.800025889072709,-0.033754834856589463,8.000025826851155,0.021208530998261307,-5.365667564430382,-0.31415926535897926,45.86725274241098,0.7367171927469012
canonical_smf28,smf28/L2m_P030W,SMF-28,2.0,0.3,8192,6.0309834736955205e-5,-42.19611861595815,false,50,-0.08292641547117449,-0.029610101422906068,-4.175763979717286,1.6246468105754865,4.983434096359585,1.3532067014594407,-0.5200732674238563,1.450087215836939e-16,45.86725274241098,0.9501134080174868
canonical_smf28,smf28/L5m_P015W,SMF-28,5.0,0.15,8192,7.599528458306864e-5,-41.19213354338762,false,100,-0.048605971448528774,-0.005091203805995977,-5.703538417828108,1.4791106247054844,13.585660425059238,-1.1288437701960292,-7.857032379355686,-5.9027694748170086e-18,46.0766922526503,0.9238150554500497
canonical_hnlf,hnlf/L1m_P005W,HNLF,1.0,0.05,16384,0.00013696881806622761,-38.63378291844603,false,80,0.04719434207729555,-0.0012732184289738632,-3.709131579179278,11.067911644289133,15.989065738214899,-13.80774101444432,-11.601732983206341,4.050813738497193e-17,46.0766922526503,0.891038840122967
canonical_hnlf,hnlf/L2m_P005W,HNLF,2.0,0.05,16384,0.0003944337038431621,-34.040259822508226,false,100,-0.061601724454565146,0.1096593256494304,-63.403811635845386,33.935534939779494,189.54030170301615,-52.90569351568451,-126.33784860420272,-5.9027694748170086e-18,46.0766922526503,0.6410858546674971
sweep_smf28,sweeps/smf28/L0.5m_P0.05W,SMF-28,0.5,0.05,8192,1.7453747726653337e-8,-77.58111305538667,true,19,0.03267885433861918,0.0006537081569780564,-1.5779390358173662,0.7488474453274659,1.5413428180868358,-1.0105662644639635,0.12436698024490213,8.401687753920104e-17,45.23893421169302,0.7454808530224256
sweep_smf28,sweeps/smf28/L0.5m_P0.1W,SMF-28,0.5,0.1,8192,2.619521435914815e-7,-65.81778043308256,true,20,-0.02383659960444496,-0.0027047451543884445,-4.780382526758684,0.9061928238598103,10.658623886611188,-1.0476503904033574,-5.52642370417693,8.401687753920104e-17,45.23893421169302,0.7110284076335566
sweep_smf28,sweeps/smf28/L0.5m_P0.2W,SMF-28,0.5,0.2,8192,7.296769270358084e-8,-71.368693862668,true,37,-0.19057869806503278,-0.05117190027137007,-47.29455002070839,-0.09103802723426924,101.63883637045264,3.6501865674801213,-53.471517754390305,8.401687753920104e-17,45.23893421169302,0.8237518307789903
sweep_smf28,sweeps/smf28/L1m_P0.05W,SMF-28,1.0,0.05,8192,4.5439223485210984e-7,-63.42569098929289,true,29,-0.20972195892022216,-0.022839329652893058,-16.889119003201742,0.2642431089123093,41.59698273405942,-0.27208204036586225,-24.809653750284994,1.0362081563168128e-16,46.0766922526503,0.7952573334161749
sweep_smf28,sweeps/smf28/L1m_P0.1W,SMF-28,1.0,0.1,8192,2.010716760008868e-6,-56.96649102067941,true,30,-0.07005204985783188,0.00016977680362666324,-76.91057655437695,-27.100305261656505,254.58650011324534,32.92960120933974,-186.35957179822336,0.4487989505128275,45.77749295230841,0.8224008230661547
