path,final_j_db,depth_gain_vs_seed_db,sigma_3db,hnlf_eval_db,hnlf_gap_db,iterations,converged
cubic128 -> full-grid,-67.59880192537965,0.00013519617505153292,0.07171777631246894,-46.09963286622288,21.499169059156763,2,true
cubic32 -> full-grid,-67.15523908637216,-6.386471233546551,0.07016952925354969,-44.84755450596441,22.307684580407752,7,true
linear64 -> cubic128 -> full-grid,-64.39922964546003,-0.45580664088713974,0.09962602158233123,-43.66175856012394,20.737471085336082,2,true
linear64 -> full-grid,-64.23257697856795,-0.28915397399506304,0.09295714528022112,-43.43301559975772,20.799561378810232,2,true
zero -> full-grid,-55.74771745723551,,0.22956520534473956,-44.27931644952473,11.468401007710781,12,true
