label,test,parameter,J_dB_mean,J_dB_max,delta_mean_dB,delta_max_dB,n_eval
cubic32_reduced,wrapped_slm_pixels_bits,64x8,-1.1166917632858504,-1.1166917632858504,59.65207608953976,59.65207608953976,1
cubic32_reduced,wrapped_slm_pixels_bits,128x8,-1.1198170871081856,-1.1198170871081856,59.64895076571742,59.64895076571742,1
cubic32_reduced,wrapped_slm_pixels_bits,128x10,-1.1172792651171506,-1.1172792651171506,59.651488587708464,59.651488587708464,1
cubic32_reduced,wrapped_slm_pixels_bits,256x10,-1.1660282089965948,-1.1660282089965948,59.60273964382902,59.60273964382902,1
cubic128_reduced,native_recheck,none,-67.59893712155478,-67.59893712155478,-8.526512829121202e-14,-8.526512829121202e-14,1
cubic128_reduced,gaussian_phase_noise,0.02,-67.10764859911227,-67.10764859911227,0.4912885224424315,0.4912885224424315,1
cubic128_reduced,gaussian_phase_noise,0.05,-65.69022984305495,-65.69022984305495,1.9087072784997474,1.9087072784997474,1
cubic128_reduced,gaussian_phase_noise,0.1,-63.84924629886568,-63.84924629886568,3.7496908226890184,3.7496908226890184,1
cubic128_reduced,active_band_resample_pixels,64,-45.23041391033135,-45.23041391033135,22.368523211223348,22.368523211223348,1
cubic128_reduced,active_band_resample_pixels,128,-16.562774608063556,-16.562774608063556,51.03616251349114,51.03616251349114,1
cubic128_reduced,active_band_resample_pixels,256,-25.672414512492626,-25.672414512492626,41.926522609062076,41.926522609062076,1
cubic128_reduced,active_band_moving_average,3,-58.6094173872561,-58.6094173872561,8.989519734298597,8.989519734298597,1
cubic128_reduced,active_band_moving_average,9,-45.778603160741284,-45.778603160741284,21.820333960813414,21.820333960813414,1
cubic128_reduced,active_band_moving_average,17,-45.04779905947045,-45.04779905947045,22.55113806208425,22.55113806208425,1
cubic128_reduced,wrapped_slm_pixels_bits,64x8,-1.1166923866742404,-1.1166923866742404,66.48224473488045,66.48224473488045,1
cubic128_reduced,wrapped_slm_pixels_bits,128x8,-1.1218859835519686,-1.1218859835519686,66.47705113800274,66.47705113800274,1
cubic128_reduced,wrapped_slm_pixels_bits,128x10,-1.118217234845341,-1.118217234845341,66.48071988670935,66.48071988670935,1
cubic128_reduced,wrapped_slm_pixels_bits,256x10,-1.1436264743423803,-1.1436264743423803,66.45531064721231,66.45531064721231,1
cubic32_fullgrid,native_recheck,none,-67.15523908637216,-67.15523908637216,0.0,0.0,1
