label,source,kind,family,fitted_from,N_phi,native_J_dB,sigma_3dB_existing_rad,hnlf_J_dB_existing,hnlf_gap_dB,fwhm_5pct_gap_dB,P_10pct_gap_dB,beta2_5pct_gap_dB,N_eff,TV,curvature,polynomial_R2
poly3_transferable,phase31_sweep_A,polynomial,,,3,-26.497271474858245,NaN,-26.211705848029723,0.2855656268285216,-0.4641977358103446,10.5127067514679,-0.9537111241656007,7.113403112760548,0.06276954528982594,82.26184186286972,0.07004948347090034
cubic32_reduced,phase31_sweep_A,cubic,,,32,-60.76876785282561,0.14311630873330217,-44.25416087262809,16.51460698019752,-0.6007444274815654,1.08208838726393,0.44574007575619845,1.261230652226684,0.18810445864493516,229.39169661213143,0.6031677189022835
cubic128_reduced,phase31_sweep_A,cubic,,,128,-67.5989371215547,0.07171705881071147,-46.09958047656392,21.499356644990776,-0.7343870086661326,6.111902383822041,0.0750018531884109,1.261263075068654,0.3131253732477952,259.0347294928794,0.6031802987421127
cubic32_fullgrid,phase31_followup,cubic32_full,,,16384,-67.15523908637216,0.07016952925354969,-44.84755450596441,22.307684580407752,2.5227212475530933,7.927042773091813,1.6353784524376067,NaN,NaN,NaN,NaN
zero_fullgrid,phase31_followup,full_zero,,,16384,-55.74771745723551,0.22956520534473956,-44.27931644952473,11.468401007710781,-0.06680749310729084,1.63928504836273,1.608114460719861,NaN,NaN,NaN,NaN
simple_phase17,phase17_baseline,simple_phase,,,8192,-76.86151180854652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
longfiber100m_phase16,phase16_or_phase21_longfiber,longfiber100m,,,32768,-54.76581847340812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
