iter,J,grad_norm,delta,rho,pred_reduction,actual_reduction,step_norm,step_accepted,cg_iters,cg_exit,lambda_min_est,lambda_max_est,kappa_eff,hvps_this_iter,grad_calls_this_iter,forward_only_calls_this_iter,wall_time_s,eps_hvp_used
1,0.77461175791679104,0.039528128967110145,0.00025000000000000001,0.01278828524814871,0.0001460399514319589,1.8676005565376741e-06,0.001,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,21.551778793334961,1.4901161193847656e-08
2,0.77461175791679104,0.039528128967110145,6.2500000000000001e-05,0.028228894256843655,1.6539021145830582e-05,4.6687827903735268e-07,0.00025000000000000001,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,34.432076930999756,1.4901161193847656e-08
3,0.77461175791679104,0.039528128967110145,1.5625e-05,0.040434528344393511,2.8865698669476996e-06,1.1671709110316897e-07,6.2500000000000001e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,47.345978975296021,1.4901161193847656e-08
4,0.77461175791679104,0.039528128967110145,3.9062500000000001e-06,0.045335826108684335,6.4363087801755334e-07,2.9179537563983615e-08,1.5625e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,60.261937856674194,1.4901161193847656e-08
5,0.77461175791679104,0.039528128967110145,9.7656250000000002e-07,0.046750680998049687,1.5603199520942758e-07,7.294602033525166e-09,3.9062500000000001e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,73.188503980636597,1.4901161193847656e-08
