iter,J,grad_norm,delta,rho,pred_reduction,actual_reduction,step_norm,step_accepted,cg_iters,cg_exit,lambda_min_est,lambda_max_est,kappa_eff,hvps_this_iter,grad_calls_this_iter,forward_only_calls_this_iter,wall_time_s,eps_hvp_used
1,0.77461175791679104,0.039528128967110145,0.025000000000000001,0.00017578969979393881,1.0690710375451984,0.00018793167674846512,0.10000000000000001,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,21.519768953323364,1.4901161193847656e-08
2,0.77461175791679104,0.039528128967110145,0.0062500000000000003,0.00069216034647426523,0.067558092264708214,4.6761032549080817e-05,0.025000000000000001,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,34.493128061294556,1.4901161193847656e-08
3,0.77461175791679104,0.039528128967110145,0.0015625000000000001,0.0026491081059472209,0.004407668871077592,1.1676391334702885e-05,0.0062500000000000003,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,47.454552173614502,1.4901161193847656e-08
4,0.77461175791679104,0.039528128967110145,0.00039062500000000002,0.0090684237272650788,0.00032180133057568171,2.9182308216579855e-06,0.0015625000000000001,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,60.415842056274414,1.4901161193847656e-08
5,0.77461175791679104,0.039528128967110145,9.7656250000000005e-05,0.023017745217774742,3.1693089694313157e-05,7.2950346374778263e-07,0.00039062500000000002,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,73.391637086868286,1.4901161193847656e-08
6,0.77461175791679104,0.039528128967110145,2.4414062500000001e-05,0.037402424696326785,4.8759447392278349e-06,1.8237215593241984e-07,9.7656250000000005e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,86.343744993209839,1.4901161193847656e-08
7,0.77461175791679104,0.039528128967110145,6.1035156250000003e-06,0.044328209194955524,1.0285282045350553e-06,4.5592813413541933e-08,2.4414062500000001e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,99.354378938674927,1.4901161193847656e-08
8,0.77461175791679104,0.039528128967110145,1.5258789062500001e-06,0.046481044717361024,2.4522842736676986e-07,1.139847349840295e-08,6.1035156250000003e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,112.25503206253052,1.4901161193847656e-08
9,0.77461175791679104,0.039528128967110145,3.8146972656250002e-07,0.04704946876340637,6.056313035625534e-08,2.8494631099107437e-09,1.5258789062500001e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,125.20862913131714,1.4901161193847656e-08
