iter,J,grad_norm,delta,rho,pred_reduction,actual_reduction,step_norm,step_accepted,cg_iters,cg_exit,lambda_min_est,lambda_max_est,kappa_eff,hvps_this_iter,grad_calls_this_iter,forward_only_calls_this_iter,wall_time_s,eps_hvp_used
1,0.77461175791679104,0.039528128967110145,0.0025000000000000005,0.001691642205565708,0.011046463536155977,1.8686663940004067e-05,0.010000000000000002,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,21.996052980422974,1.4901161193847656e-08
2,0.77461175791679104,0.039528128967110145,0.00062500000000000012,0.0061076919176843159,0.00076451921282308009,4.6694478170739018e-06,0.0025000000000000005,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,35.093317985534668,1.4901161193847656e-08
3,0.77461175791679104,0.039528128967110145,0.00015625000000000003,0.017602192480493172,6.6311261254775377e-05,1.1672235842308254e-06,0.00062500000000000012,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,48.140475034713745,1.4901161193847656e-08
4,0.77461175791679104,0.039528128967110145,3.9062500000000008e-05,0.033246989791880496,8.7766564417566825e-06,2.9179740712592661e-07,0.00015625000000000003,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,61.12720513343811,1.4901161193847656e-08
5,0.77461175791679104,0.039528128967110145,9.7656250000000019e-06,0.042744897815920085,1.7065916809430977e-06,7.2948087015412e-08,3.9062500000000008e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,74.117727041244507,1.4901161193847656e-08
6,0.77461175791679104,0.039528128967110145,2.4414062500000005e-06,0.046032071630739677,3.9617464339226989e-07,1.8236739562915716e-08,9.7656250000000019e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,87.122298002243042,1.4901161193847656e-08
7,0.77461175791679104,0.039528128967110145,6.1035156250000012e-07,0.046931554177658388,9.7139081045348446e-08,4.5588880448477198e-09,2.4414062500000005e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,100.17151308059692,1.4901161193847656e-08
